,CAS,logBCF,Dataset,SMILES
62,3766-81-2,0.94,uci,O=C(Oc1ccccc1C(C)CC)NC
63,3761-42-0,0.5,uci,O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1C)C
64,39227-58-2,2.83,uci,Clc1c(cc(c2c1Oc1c(cccc1)O2)Cl)Cl
65,39515-41-8/64257-84-7,3.04,uci,N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3
66,39569-21-6,3.98,uci,Cc1c(c(c(c(c1Cl)Br)Br)Br)Br
67,39807-15-3,2.82,uci,O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C
68,4175-54-6,3.12,uci,CC1c2ccccc2C(CC1)C
69,4162-45-2,2.26,uci,OCCOc1c(cc(cc1Br)C(c2cc(c(OCCO)c(c2)Br)Br)(C)C)Br
70,41483-43-6,2.27,uci,O=S(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C
71,41464-51-1,5.43,uci,Clc1cc(Cl)c(cc1c1cccc(c1Cl)Cl)Cl
72,41464-42-0,4.85,uci,Clc1c(cc(cc1)Cl)c1cc(cc(c1)Cl)Cl
73,41464-41-9,4.46,uci,Clc1c(cc(cc1)Cl)c1c(cccc1Cl)Cl
74,41464-40-8,4.26,uci,Clc1ccc(cc1c1c(cc(cc1)Cl)Cl)Cl
75,41464-39-5,4.84,uci,c2cc(c1cc(ccc1Cl)Cl)c(c(c2)Cl)Cl
76,4130-42-1,3.53,uci,Oc1c(cc(cc1C(C)(C)C)CC)C(C)(C)C
77,41122-70-7,3.59,uci,N#Cc1ccc(cc1)c2ccc(cc2)CCCCCC
78,41083-11-8,3.88,uci,n1cnn(c1)[Sn](C2CCCCC2)(C3CCCCC3)C4CCCCC4
79,4101-68-2,1.93,uci,BrCCCCCCCCCCBr
80,40690-89-9,0.83,uci,N#CCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CCOC(=O)c1ccccc1
81,4051-66-5,1.48,uci,O=C(NCCCCCCCCCCCCCCCCCC)NCCCCCCCCCCCCCCCCCC
82,40487-42-1,3.71,uci,O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C
83,40321-76-4,4.26,uci,O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl
84,40186-71-8,5.88,uci,Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl
85,52322-80-2,3.64,uci,O(c1ccccc1)c2cc(c(cc2Cl)Cl)Cl
86,52663-63-5,5.54,uci,c1cc(c(cc1Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl
87,526-73-8,2.31,uci,c1cc(c(c(c1)C)C)C
88,57117-41-6,3.58,uci,o2c1cc(c(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl
89,57653-85-7,3.93,uci,O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl
90,576-24-9,1.23,uci,Clc1c(cccc1Cl)O
91,57567-84-7,0.11,uci,O=C(O)C1CCC(C)CC1(C(=O)O)
92,575-41-7,3.37,uci,Cc1cc(cc2c1cccc2)C
93,57465-28-8,4.68,uci,Clc1c(ccc(c1)c1cc(c(c(c1)Cl)Cl)Cl)Cl
94,57-15-8,0.27,uci,CC(C(Cl)(Cl)Cl)(C)O
95,57117-44-9,3.94,uci,o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl
96,57117-43-8,3.57,uci,o2c1c(ccc(c1Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl
97,57117-39-2,2.72,uci,o2c1cc(c(cc1c3ccc(c(c23)Cl)Cl)Cl)Cl
98,56425-91-3,1.54,uci,FC(F)(F)Oc1ccc(cc1)C(O)(c2cncnc2)C(C)C
99,57117-31-4,4.13,uci,o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl
100,5707-44-8,2.82,uci,c1ccc(cc1)c2ccc(cc2)CC
101,57055-39-7,2.18,uci,O=C(O)C2(C)(CCCC3(c1cc(c(c(c1CCC23)Cl)C(C)C)Cl)(C))
102,57018-04-9,2.85,uci,O(c1c(cc(cc1Cl)C)Cl)P(OC)(OC)=S
103,569-64-2,1.86,uci,c1ccc(cc1)C(c2ccc(cc2)N(C)C)=C3C=CC(C=C3)=[N+](C)C
104,56-72-4,2.73,uci,CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC
105,56558-17-9,4.81,uci,Clc1c(cc(cc1)c1c(cc(cc1Cl)Cl)Cl)Cl
106,56558-16-8,4.81,uci,Clc1cc(cc(c1c1c(cccc1Cl)Cl)Cl)Cl
107,577-11-7,0.72,uci,O=C(OCC(CC)CCCC)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O
108,57-74-9,4.29,uci,ClC12C3C(C(C1(Cl)Cl)(C(=C2Cl)Cl)Cl)C(C(C3)Cl)Cl
109,57837-19-1,0.84,uci,O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C
110,579-10-2,0.07,uci,CN(c1ccccc1)C(=O)C
111,59-50-7,0.98,uci,Cc1cc(ccc1Cl)O
112,59365-60-5,0.39,uci,Clc1c(cccc1)C(O)CO
113,59261-08-4,4.66,uci,c2c(cc(c(c1c(cc(cc1Br)Br)Br)c2Br)Br)Br
114,5915-41-3,0.84,uci,n1c(nc(nc1NC(C)(C)C)Cl)NCC
115,591-35-5,1.92,uci,Oc1cc(cc(c1)Cl)Cl
116,591-27-5,1.22,uci,Nc1cc(ccc1)O
117,591-20-8,1.1,uci,Oc1cccc(c1)Br
118,59080-37-4,4.97,uci,c2cc(c(c1c(cccc1Br)Br)c(c2)Br)Br
119,59080-33-0,3.87,uci,c1ccc(cc1)c2c(cc(cc2Br)Br)Br
120,59039-21-3,3.79,uci,Clc1c(ccc(c1)Cl)Oc1ccc(cc1)Cl
121,5902-51-2,0.78,uci,O=C1NC(=C(C(=O)N1C(C)(C)C)Cl)C
122,58-90-2,2.16,uci,Clc1c(c(cc(c1Cl)Cl)Cl)O
123,583-78-8,1.11,uci,Oc1c(ccc(c1)Cl)Cl
124,5835-26-7,1.63,uci,O=C(O)C1(C)(CCCC2(C)(C3C(=CCC12)CC(C=C)(C)CC3))
125,583-39-1,0.41,uci,SC1=Nc2c(cccc2)N1
126,581-40-8,2.71,uci,Cc1cc2c(cc1C)cccc2
127,57960-19-7,2.38,uci,O=C(OC=1C(=O)c2ccccc2(C(=O)C=1CCCCCCCCCCCC))C
128,56-55-3,2.48,uci,c1c2c(cc3ccc4c(c13)cccc4)cccc2
129,56-38-2,2.05,uci,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1
130,526-78-3,0.62,uci,O=C(C(C(C(=O)O)Br)Br)O
131,53-70-3,2.8,uci,c1c2c(cc3ccc4c(c13)cccc4)c1ccccc1cc2
132,5428-54-6,0.86,uci,O=[N+](c1cc(c(cc1)C)O)[O-]
133,542-18-7,2.35,uci,ClC1CCCCC1
134,541-73-1,2.44,uci,Clc1cc(ccc1)Cl
135,54135-82-9,3.09,uci,O(c1cc(c(c(c1)Cl)Cl)Cl)C
136,54135-81-8,3.07,uci,OCc1cc(cc(c1Cl)Cl)Cl
137,54135-80-7,2.96,uci,O(c1ccc(c(c1Cl)Cl)Cl)C
138,5409-83-6,3.66,uci,Clc1cc2c(oc3c2cc(cc3)Cl)cc1
139,538-75-0,0.09,uci,N(=C=NC1CCCCC1)C1CCCCC1
140,535-77-3,2.75,uci,CC(c1cc(ccc1)C)C
141,56-35-9,3.99,uci,CCCC[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC
142,534-52-1,0.25,uci,O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-]
143,52918-63-5,2.83,uci,N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3
144,52888-80-9,2.84,uci,O=C(N(CCC)CCC)SCc1ccccc1
145,527-60-6,0.91,uci,Oc1c(cc(cc1C)C)C
146,527-20-8,2.71,uci,Nc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl
147,52712-05-7,5.93,uci,Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl
148,52712-04-6,5.81,uci,Clc1ccc(c(c1)c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl
149,52-68-6,-0.39,uci,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
150,544-01-4,2.3,uci,CC(CCOCCC(C)C)C
151,544-76-3,2.68,uci,CCCCCCCCCCCCCCCC
152,5510-99-6,2.47,uci,Oc1c(cccc1C(CC)C)C(CC)C
153,55179-31-2/70585-36-3,2.31,uci,OC(C(Oc1ccc(cc1)c2ccccc2)n3ncnc3)C(C)(C)C
154,56348-72-2,4.43,uci,Clc1cc(ccc1Cl)Oc1ccc(c(c1)Cl)Cl
155,56-23-5,0.95,uci,ClC(Cl)(Cl)Cl
156,56113-42-9,0.49,uci,O=C(c1c(c(c(c(c1Cl)Cl)Cl)Cl)C(=O)O)N
157,5598-13-0,3.26,uci,n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl
158,5586-15-2,0.38,uci,c1ccc2cc(ccc2(c1))SSc3ccc4ccccc4(c3)
159,55720-37-1,4.43,uci,c1cc(cc2c1cc(cc2Cl)Cl)Cl
160,556-67-2,4.08,uci,O1[Si](O[Si](O[Si](O[Si]1(C)C)(C)C)(C)C)(C)C
161,5566-34-7,4.3,uci,C2(=C(C3(C1CC(CC1C2(C3(Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl
162,55512-33-9,2.06,uci,O=C(Oc1cc(nnc1c2ccccc2)Cl)SCCCCCCCC
163,555-03-3,0.75,uci,O=[N+](c1cc(ccc1)OC)[O-]
164,554-84-7,1.4,uci,O=[N+]([O-])c1cccc(O)c1
165,554-00-7,1.38,uci,Clc1c(ccc(c1)Cl)N
166,55-38-9,2.39,uci,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S
167,55335-06-3,-0.1,uci,O=C(O)COc1nc(c(cc1Cl)Cl)Cl
168,55290-64-7,0.63,uci,O=S1(=O)(C(=C(C)S(=O)(=O)CC1)C)
169,55285-14-8,3.0,uci,O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCCC)CCCC
170,55219-65-3,1.32,uci,OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C
171,3761-41-9,0.13,uci,O=S(c1ccc(OP(OC)(OC)=S)cc1C)C
172,376-06-7,4.26,uci,OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
173,375-95-1,3.4,uci,OC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
174,260-94-6,2.25,uci,n1c3ccccc3(cc2ccccc12)
175,26530-20-1,2.22,uci,O=C1C=CSN1CCCCCCCC
176,26444-49-5,2.51,uci,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3C
177,2642-71-9,2.27,uci,CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1
178,2636-26-2,1.56,uci,N#Cc1ccc(OP(OC)(OC)=S)cc1
179,2631-40-5,0.82,uci,CC(c1ccccc1OC(=O)NC)C
180,26306-61-6,1.95,uci,O(c1ccc(N)cc1)c2c(cc(cc2Cl)Cl)Cl
181,26259-45-0,1.2,uci,CCNc1nc(NC(CC)C)nc(n1)OC
182,26225-79-6,2.16,uci,O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C
183,26087-47-8,0.97,uci,O=P(OC(C)C)(OC(C)C)SCc1ccccc1
184,2531-84-2,3.48,uci,c1ccc3c(c1)ccc2cc(ccc23)C
185,26002-80-2,2.62,uci,CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C
186,2593-15-9,2.22,uci,n1c(nsc1OCC)C(Cl)(Cl)Cl
187,2581-34-2,1.16,uci,Cc1cc(ccc1[N+](=O)[O-])O
188,25638-17-9,0.18,uci,O=S(=O)(O)c2cccc1ccc(cc12)CCCC
189,25567-40-2,2.87,uci,Cc1ccc(c(c1)C(C)(C)C)O
190,2539-17-5,2.56,uci,Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl
191,25339-17-7,2.51,uci,CC(CCCCCCCO)C
192,25321-14-6,1.09,uci,O=[N+]([O-])c1cccc(c1[N+](=O)[O-])C
193,26545-58-4,1.0,uci,O=S(=O)(O)c2cccc1cc(ccc12)Cc4ccc3c(cccc3S(=O)(=O)O)c4
194,2655-14-3,0.35,uci,Cc1cc(cc(c1)OC(=O)NC)C
195,26603-23-6,1.54,uci,c1cc(ccc1Nc2ccc(cc2)CCCCCCCC)CCCCCCCC
196,26630-87-5,1.22,uci,O=C(c1ccccc1)Nc1c(ccc(c1)N(CCOC(=O)C)CCOC(=O)C)N=NC1=Nc2ccc(cc2S1)Cl
197,283594-90-1,2.74,uci,O=C1OC3(C(OC(=O)CC(C)(C)C)=C1c2c(cc(cc2C)C)C)(CCCC3)
198,28299-29-8,0.22,uci,O=C(C(CC(=O)O)CCCCCCCCC=CCCCCCCCC)O
199,28249-77-6,2.25,uci,O=C(N(CC)CC)SCc1ccc(cc1)Cl
200,2814-20-2,0.11,uci,CC(C1=NC(=O)C=C(N1)C)C
201,28106-30-1,2.69,uci,CCc1ccccc1C=C
202,28076-73-5,4.14,uci,Clc1c(ccc(c1)Cl)Oc1c(cc(cc1)Cl)Cl
203,2764-72-9,0.76,uci,c1ccc[n+]2c1c1[n+](cc2)cccc1
204,27458-92-0,2.73,uci,CC(CCCCCCCCCCO)C
205,27314-13-2,1.45,uci,O=C1C(=C(C=NN1c2cccc(c2)C(F)(F)F)NC)Cl
206,26967-76-0,1.46,uci,O=P(Oc1ccc(cc1)C(C)C)(Oc1ccc(cc1)C(C)C)Oc1ccc(cc1)C(C)C
207,2691-41-0,-0.3,uci,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1
208,26898-17-9,4.0,uci,c1ccc(cc1)Cc2ccc(c(c2)C)Cc3ccccc3
209,26787-65-5,1.27,uci,O=C(OCCO)CCCCCCCCCCCCCCCCCCCCCCCCCCC
210,26761-40-0,1.01,uci,O=C(c1c(cccc1)C(=O)OCCCCCCCC(C)C)OCCCCCCCC(C)C
211,2668-47-5,3.88,uci,Oc1c(cc(cc1C(C)(C)C)c1ccccc1)C(C)(C)C
212,2668-24-8,2.07,uci,Oc1c(OC)cc(c(c1Cl)Cl)Cl
213,26644-46-2,0.0,uci,O=CNC(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
214,25321-09-9,3.26,uci,c1ccc(c(c1)C(C)C)C(C)C
215,25311-71-1,2.12,uci,O=C(OC(C)C)c1ccccc1(OP(OCC)(NC(C)C)=S)
216,28680-44-6,3.81,uci,C1(=C(C2(C(=C(C1(C2)Cl)Cl)Cl)Cl)Cl)Cl
217,217-59-4,2.41,uci,c1cccc2c1c1ccccc1c1c2cccc1
218,2255-17-6,0.44,uci,O=[N+]([O-])c1ccc(OP(=O)(OC)OC)cc1C
219,225-11-6,2.02,uci,n1c4ccccc4(cc3c1ccc2ccccc23)
220,2243-62-1,0.46,uci,Nc1c2c(ccc1)c(ccc2)N
221,2234-13-1,2.58,uci,c12(c(c(c(c(c1Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl)
222,22224-92-6,2.04,uci,O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C
223,2216-69-5,2.26,uci,COc1cccc2c1cccc2
224,220899-03-6,2.72,uci,O=C(c1c(OC)c(OC)c(OC)cc1C)c2c(OC)ccc(c2C)Br
225,218-01-9,2.24,uci,c1cc2ccccc2c2ccc3c(c12)cccc3
226,2173-57-1,2.87,uci,CC(COc1ccc2c(c1)cccc2)C
227,25154-54-5,1.16,uci,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
228,2164-17-2,1.61,uci,O=C(Nc1cccc(c1)C(F)(F)F)N(C)C
229,21609-90-5,3.78,uci,O(c1cc(c(cc1Cl)Br)Cl)P(OC)(c2ccccc2)=S
230,21564-17-0,2.07,uci,N#CSCSC1=Nc2ccccc2S1
231,2136-99-4,5.82,uci,c2c(c(c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(c2Cl)Cl)Cl)Cl
232,2122-19-2,1.0,uci,N1C(NC(C)C1)=S
233,21087-64-9,1.02,uci,CC(C)(C)C1=NN=C(N(C1=O)N)SC
234,210631-68-8,-0.52,uci,O=C(c1cnn(c1(O))C)c3ccc(c(C2=NOCC2)c3C)S(=O)(=O)C
235,2104-96-3,2.12,uci,O(c1cc(c(cc1Cl)Br)Cl)P(OC)(OC)=S
236,226-36-8,2.03,uci,n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34)
237,22907-72-8,3.5,uci,CC(C1CCC(CC1)C(C)C)C
238,23031-36-9,3.06,uci,C#CCC1=C(C)C(CC1=O)OC(=O)[C@H]1[C@@H](C1(C)C)C=C(C)C
239,2303-17-5,3.15,uci,O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl
240,25154-52-3,2.19,uci,Oc1ccc(cc1)C(C)CC(C)CC(C)C
241,25057-89-0,1.32,uci,O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)
242,2498-66-0,1.63,uci,O=C1c2c(ccc3c2cccc3)C(=O)c2c1cccc2
243,2465-27-2,1.07,uci,N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C
244,2463-84-5,1.89,uci,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)c(c1)Cl
245,24579-73-5,1.73,uci,O=C(OCCC)NCCCN(C)C
246,2440-02-0,4.05,uci,C1(=C(C2(C(CC1(C2(Cl)Cl)Cl)Cl)Cl)Cl)Cl
247,2437-79-8,4.39,uci,c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl
248,24019-05-4,1.9,uci,OS(=O)(=O)c1c(ccc(c1)Cl)Oc1c(cc(cc1)Cl)NC(=O)Nc1cc(c(cc1)Cl)Cl
249,2385-85-5,4.31,uci,C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
250,2381-21-7,2.73,uci,Cc1c2c3c4c(cccc4ccc3cc1)cc2
251,2371-42-8,1.48,uci,OC1(C)(CC2CCC1(C)C2(C)(C))
252,23184-66-9,0.38,uci,O=C(N(c1c(cccc1CC)CC)COCCCC)CCl
253,23135-22-0,0.3,uci,O=C(ON=C(C(=O)N(C)C)SC)NC
254,2312-35-8,4.14,uci,O=S(OCC#C)OC2CCCCC2(Oc1ccc(cc1)C(C)(C)C)
255,23103-98-2,1.38,uci,O=C(Oc1nc(nc(c1C)C)N(C)C)N(C)C
256,2310-17-0,2.26,uci,O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl
257,28575-17-9,3.76,uci,c1cc(cc(c1)CC)c2cccc(c2)CC
258,28680-45-7,4.05,uci,C1=CC2(C(C1(C(C2(Cl)Cl)(Cl)Cl)Cl)Cl)Cl
259,374726-62-2,1.68,uci,O=C(NCCc1ccc(OCC#C)c(OC)c1)C(OCC#C)c2ccc(cc2)Cl
260,33576-92-0,1.89,uci,O(c1ccccc1)P(OC)(OC)=S
261,34643-46-4,3.77,uci,CCCSP(=S)(Oc1ccc(cc1Cl)Cl)OCC
262,346-10-1,0.49,uci,O=C(Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1)C(Oc2ccc(cc2C(C)(C)CC)C(C)(C)CC)CC
263,34256-82-1,1.3,uci,O=C(N(c1c(cccc1CC)C)COCC)CCl
264,34014-18-1,0.42,uci,O=C(NC)N(c1nnc(C(C)(C)C)s1)C
265,3389-71-7,3.81,uci,C1=CC2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl
266,33857-26-0,2.47,uci,Clc1cc2c(cc1)Oc1c(ccc(c1)Cl)O2
267,3380-34-5,1.7,uci,Oc1cc(ccc1Oc1c(cc(cc1)Cl)Cl)Cl
268,33629-47-9,3.29,uci,O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C
269,335-76-2,2.65,uci,OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
270,330-55-2,1.27,uci,Clc1c(ccc(c1)NC(=O)N(OC)C)Cl
271,335-67-1,3.12,uci,FC(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F
272,3347-22-6,1.43,uci,N#CC2=C(C#N)SC=1C(=O)c3ccccc3(C(=O)C=1S2)
273,33423-92-6,3.76,uci,O1c3cc(cc(c3(Oc2c1cc(cc2Cl)Cl))Cl)Cl
274,3337-71-1,-0.12,uci,O=C(OC)NS(=O)(=O)c1ccc(N)cc1
275,333-41-5,1.8,uci,n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C
276,33284-54-7,4.71,uci,Clc1c(c(c(cc1Cl)Cl)Cl)c1ccccc1
277,33284-53-6,4.39,uci,Clc1c(cc(c(c1Cl)Cl)Cl)c1ccccc1
